step_bin,log_value_bin,count
0,0,1
0,13,1
0,21,1
0,26,1
0,31,1
0,34,1
0,37,1
0,40,1
0,42,1
0,44,1
0,46,1
0,47,1
0,49,1
0,50,1
0,52,1
0,53,1
0,54,1
0,55,1
0,56,1
0,57,1
0,58,1
0,59,1
0,60,1
0,61,1
0,62,2
0,63,1
0,64,1
0,65,2
0,66,2
0,67,1
0,68,2
0,69,2
0,70,2
0,71,2
0,72,2
0,73,3
0,74,2
0,75,3
0,76,2
0,77,3
0,78,3
0,79,4
0,80,3
0,81,3
0,82,4
0,83,4
0,84,4
0,85,5
0,86,4
0,87,5
0,88,5
0,89,5
0,90,6
0,91,6
0,92,6
0,93,7
0,94,7
0,95,7
0,96,8
0,97,8
0,98,8
0,99,9
0,100,10
0,101,10
0,102,10
0,103,11
0,104,12
0,105,12
0,106,13
0,107,13
0,108,15
0,109,15
0,110,16
0,111,16
0,112,18
0,113,18
0,114,20
0,115,20
0,116,22
0,117,23
0,118,24
0,119,25
0,120,27
0,121,28
0,122,29
0,123,31
0,124,33
0,125,34
0,126,37
0,127,38
0,128,40
0,129,43
0,130,44
0,131,47
0,132,50
0,133,19
1,0,1
1,13,1
1,21,1
1,26,1
1,31,1
1,34,1
1,37,1
1,40,1
1,42,1
1,44,2
1,46,1
1,47,1
1,49,1
1,50,1
1,52,1
1,53,2
1,54,1
1,55,1
1,56,1
1,57,1
1,58,1
1,59,2
1,60,1
1,61,1
1,62,2
1,63,1
1,64,2
1,65,2
1,66,2
1,67,1
1,68,3
1,69,2
1,70,2
1,71,3
1,72,2
1,73,4
1,74,2
1,75,3
1,76,3
1,77,3
1,78,4
1,79,4
1,80,4
1,81,3
1,82,5
1,83,5
1,84,4
1,85,6
1,86,5
1,87,6
1,88,6
1,89,5
1,90,7
1,91,7
1,92,7
1,93,9
1,94,8
1,95,8
1,96,9
1,97,10
1,98,9
1,99,10
1,100,12
1,101,12
1,102,11
1,103,13
1,104,14
1,105,14
1,106,15
1,107,16
1,108,17
1,109,18
1,110,18
1,111,19
1,112,21
1,113,21
1,114,23
1,115,24
1,116,25
1,117,27
1,118,28
1,119,29
1,120,5
1,121,4
1,122,5
1,123,5
1,124,6
1,125,6
1,126,6
1,127,6
1,128,7
1,129,7
1,130,7
1,131,8
1,132,8
1,133,9
1,134,9
1,135,10
1,136,10
1,137,11
1,138,11
1,139,12
1,140,12
1,141,14
1,142,13
1,143,15
1,144,15
1,145,17
1,146,17
1,147,18
1,148,18
1,149,20
1,150,21
1,151,22
1,152,24
1,153,24
1,154,15
2,0,1
2,13,1
2,21,1
2,26,1
2,31,2
