threshold,epsilon,occupied_cells,dilated_cells,beta0_before,beta0_after,beta1_before,beta1_after,largest_component_before,largest_component_after,largest_inscribed_radius,radius_step_center,radius_log_value_center
1,40,76078,2917410,33451,1,0,0,754,2917410,751.1677575615183,0.37575000000000003,0.37575000000000003
2,40,58749,2612279,27038,1,0,2,625,2612279,710.1894113544639,0.35524999999999995,0.35524999999999995
5,40,37118,2041306,18857,1,0,0,497,2041306,651.2917932846997,0.32575,0.32575
10,40,24409,1675065,14963,1,0,0,346,1675065,554.0,0.28325,0.27675000000000005
20,40,13034,1499667,10078,1,0,0,173,1499667,554.0,0.30074999999999996,0.27675000000000005
50,77,3135,1284754,3027,1,0,0,63,1284754,528.4855721777086,0.31174999999999997,0.26425
100,40,518,642003,518,1,0,0,1,642003,218.0,0.19575,0.13025
