prefix,count,frequency
1010101010101010,3,0.003
1010010101010100,2,0.002
1010101010010010,2,0.002
1001010101010010,2,0.002
1010101001001010,2,0.002
0101001010101010,2,0.002
1010100010101010,2,0.002
1010010101001010,2,0.002
1010100101010100,2,0.002
1010101001010010,2,0.002
1010101010101001,2,0.002
1001010100101010,2,0.002
1010010101010010,2,0.002
1010101010010101,2,0.002
1010100101001010,2,0.002
1001010101010101,2,0.002
1010101010100100,2,0.002
0101010010101010,2,0.002
1010101000101010,2,0.002
1001001010101010,2,0.002
1010100101010010,2,0.002
1010101001010101,2,0.002
1010010100101010,2,0.002
0101010101010100,2,0.002
1010010101010101,2,0.002
0101010101001010,2,0.002
1010101010100010,2,0.002
1010100100101010,2,0.002
0100101010101010,2,0.002
1010001010101010,2,0.002
1010100101010101,2,0.002
1001010010101010,2,0.002
0101010101010010,2,0.002
1010101010101000,2,0.002
1010101010010100,2,0.002
1001010101010100,2,0.002
1010101010100101,2,0.002
0101010100101010,2,0.002
1010101010001010,2,0.002
1,1,0.001
01,1,0.001
10100001,1,0.001
001,1,0.001
100001,1,0.001
010100001,1,0.001
1010100100010000,1,0.001
0001,1,0.001
1001010100100010,1,0.001
0100001,1,0.001
101001000100001,1,0.001
