start,stop,bins,added_cells,previous_cells,min_distance_cells,min_distance_normalized,max_distance_cells,max_distance_normalized,mean_distance_cells,mean_distance_normalized
10001,50000,1000,27862,39368,1.0,0.001,139.71399357258383,0.13971399357258382,4.913979251282966,0.004913979251282966
50001,100000,1000,15936,67230,1.0,0.001,81.15417426109393,0.08115417426109393,2.897791106881093,0.002897791106881093
100001,200000,1000,20041,83166,1.0,0.001,75.32595834106593,0.07532595834106592,2.580955106848542,0.002580955106848542
200001,500000,1000,29861,103207,1.0,0.001,138.03260484392808,0.1380326048439281,4.39457545478345,0.00439457545478345
500001,1000000,1000,24811,133068,1.0,0.001,111.0,0.111,3.792867982052408,0.0037928679820524083
1000001,2000000,1000,29347,157879,1.0,0.001,155.4155719353759,0.15541557193537592,3.5101560886172343,0.003510156088617234
2000001,5000000,1000,41977,187226,1.0,0.001,77.20103626247513,0.07720103626247513,2.3323647881374012,0.0023323647881374012
5000001,10000000,1000,37271,229203,1.0,0.001,163.1349134918703,0.1631349134918703,5.2425191194314875,0.0052425191194314874
