start,odd_start,compressed_length,exponent_word,exponent_sum,exponent_mean,exponent_one_count,exponent_one_ratio,net_log2_factor,max_odd_value
281,281,13,2 1 3 1 1 3 4 1 3 1 2 3 4,29,2.230769,5,0.384615,-8.395487,317
282,141,3,3 5 4,12,4.000000,0,0.000000,-7.245112,141
283,283,20,1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,40,2.000000,11,0.550000,-8.300750,3077
284,71,37,1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,65,1.756757,21,0.567568,-6.356387,3077
285,285,37,3 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,67,1.810811,20,0.540541,-8.356387,3077
286,143,37,1 1 1 4 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,66,1.783784,22,0.594595,-7.356387,3077
287,287,13,1 1 1 1 2 4 3 3 3 1 2 3 4,29,2.230769,5,0.384615,-8.395487,1457
288,9,6,2 1 1 2 3 4,13,2.166667,2,0.333333,-3.490225,17
289,289,8,2 2 1 5 1 1 5 4,21,2.625000,3,0.375000,-8.320300,289
290,145,42,2 3 2 1 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,74,1.761905,23,0.547619,-7.431575,3077
291,291,42,1 5 2 1 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,75,1.785714,24,0.571429,-8.431575,3077
292,73,42,2 1 1 3 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,73,1.738095,24,0.571429,-6.431575,3077
293,293,42,4 1 1 3 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,75,1.785714,24,0.571429,-8.431575,3077
294,147,42,1 3 1 3 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,74,1.761905,24,0.571429,-7.431575,3077
295,295,18,1 1 2 1 3 2 1 3 1 1 3 4 1 3 1 2 3 4,37,2.055556,8,0.444444,-8.470675,749
296,37,6,4 1 1 2 3 4,15,2.500000,2,0.333333,-5.490225,37
297,297,25,2 1 1 1 1 3 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,48,1.920000,14,0.560000,-8.375937,3077
298,149,6,6 1 1 2 3 4,17,2.833333,2,0.333333,-7.490225,149
299,299,42,1 2 2 3 1 1 1 1 4 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,75,1.785714,24,0.571429,-8.431575,3077
300,75,3,1 2 8,11,3.666667,1,0.333333,-6.245112,113
301,301,3,3 2 8,13,4.333333,0,0.000000,-8.245112,301
302,151,3,1 1 10,12,4.000000,2,0.666667,-7.245112,341
303,303,13,1 1 1 2 2 2 2 4 3 1 1 5 4,29,2.230769,5,0.384615,-8.395487,1025
