start,odd_start,compressed_length,exponent_word,exponent_sum,exponent_mean,exponent_one_count,exponent_one_ratio,net_log2_factor,max_odd_value
1,1,0,,0,0.000000,0,0.000000,0.000000,1
2,1,0,,0,0.000000,0,0.000000,0.000000,1
3,3,2,1 4,5,2.500000,1,0.500000,-1.830075,5
4,1,0,,0,0.000000,0,0.000000,0.000000,1
5,5,1,4,4,4.000000,0,0.000000,-2.415037,5
6,3,2,1 4,5,2.500000,1,0.500000,-1.830075,5
7,7,5,1 1 2 3 4,11,2.200000,2,0.400000,-3.075187,17
8,1,0,,0,0.000000,0,0.000000,0.000000,1
9,9,6,2 1 1 2 3 4,13,2.166667,2,0.333333,-3.490225,17
10,5,1,4,4,4.000000,0,0.000000,-2.415037,5
11,11,4,1 2 3 4,10,2.500000,1,0.250000,-3.660150,17
12,3,2,1 4,5,2.500000,1,0.500000,-1.830075,5
13,13,2,3 4,7,3.500000,0,0.000000,-3.830075,13
14,7,5,1 1 2 3 4,11,2.200000,2,0.400000,-3.075187,17
15,15,5,1 1 1 5 4,12,2.400000,3,0.600000,-4.075187,53
16,1,0,,0,0.000000,0,0.000000,0.000000,1
17,17,3,2 3 4,9,3.000000,0,0.000000,-4.245112,17
18,9,6,2 1 1 2 3 4,13,2.166667,2,0.333333,-3.490225,17
19,19,6,1 3 1 2 3 4,14,2.333333,2,0.333333,-4.490225,29
20,5,1,4,4,4.000000,0,0.000000,-2.415037,5
21,21,1,6,6,6.000000,0,0.000000,-4.415037,21
22,11,4,1 2 3 4,10,2.500000,1,0.250000,-3.660150,17
23,23,4,1 1 5 4,11,2.750000,2,0.500000,-4.660150,53
24,3,2,1 4,5,2.500000,1,0.500000,-1.830075,5
25,25,7,2 1 3 1 2 3 4,16,2.285714,2,0.285714,-4.905262,29
26,13,2,3 4,7,3.500000,0,0.000000,-3.830075,13
27,27,41,1 2 1 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,70,1.707317,24,0.585366,-5.016537,3077
28,7,5,1 1 2 3 4,11,2.200000,2,0.400000,-3.075187,17
29,29,5,3 1 2 3 4,13,2.600000,1,0.200000,-5.075187,29
30,15,5,1 1 1 5 4,12,2.400000,3,0.600000,-4.075187,53
31,31,39,1 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,67,1.717949,23,0.589744,-5.186462,3077
32,1,0,,0,0.000000,0,0.000000,0.000000,1
33,33,8,2 2 1 3 1 2 3 4,18,2.250000,2,0.250000,-5.320300,33
34,17,3,2 3 4,9,3.000000,0,0.000000,-4.245112,17
35,35,3,1 5 4,10,3.333333,1,0.333333,-5.245112,53
36,9,6,2 1 1 2 3 4,13,2.166667,2,0.333333,-3.490225,17
37,37,6,4 1 1 2 3 4,15,2.500000,2,0.333333,-5.490225,37
38,19,6,1 3 1 2 3 4,14,2.333333,2,0.333333,-4.490225,29
39,39,11,1 1 2 1 4 1 3 1 2 3 4,23,2.090909,5,0.454545,-5.565412,101
40,5,1,4,4,4.000000,0,0.000000,-2.415037,5
41,41,40,2 1 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,69,1.725000,23,0.575000,-5.601500,3077
42,21,1,6,6,6.000000,0,0.000000,-4.415037,21
43,43,9,1 2 2 4 1 1 2 3 4,20,2.222222,3,0.333333,-5.735337,65
44,11,4,1 2 3 4,10,2.500000,1,0.250000,-3.660150,17
45,45,4,3 2 3 4,12,3.000000,0,0.000000,-5.660150,45
46,23,4,1 1 5 4,11,2.750000,2,0.500000,-4.660150,53
47,47,38,1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,66,1.736842,22,0.578947,-5.771425,3077
48,3,2,1 4,5,2.500000,1,0.500000,-1.830075,5
