threshold,epsilon,occupied_cells,dilated_cells,beta0_before,beta0_after,beta1_before,beta1_after,largest_component_before,largest_component_after,largest_inscribed_radius,radius_step_center,radius_log_value_center
1,4,23797,45221,1085,1,711,2,19644,45221,85.0,84.5,3.081680992126623
2,5,20393,41654,843,1,742,3,16342,41654,89.0,88.5,2.740992641238253
5,5,16182,33332,645,1,524,0,12444,33332,84.0,83.5,2.586134299925357
10,5,13530,30425,614,1,413,0,10498,30425,79.0,78.5,2.4312759586124617
20,5,10738,26492,703,1,330,0,7453,26492,67.7421582177598,68.5,2.090587607724091
50,5,6135,21411,1064,1,215,0,3696,21411,67.0,73.5,2.059615939461512
100,5,2446,14939,674,1,10,0,811,14939,34.0147027033899,41.5,2.49321929513762
