start,stop,root_count,mean_steps,max_steps,mean_log10_maximum,max_log10_maximum,mean_odd_ratio,mean_odd_transition_count,mean_compressed_length,mean_exponent,mean_exponent_one_ratio,mean_net_log2_factor
10001,50000,40000,104.3862,323,5.029422958732829,8.082831539467364,0.3237281668533668,34.5917,34.5917,2.186651773620485,0.4543566669439905,-13.967977663803985
50001,100000,50000,114.57452,350,5.456794266203263,9.196127731549057,0.3247001435961409,37.98404,37.98404,2.1627766463766895,0.4597628572444187,-15.387200974107579
100001,200000,100000,121.84762,382,5.757881991410233,10.23558848023327,0.325334551096741,40.41077,40.41077,2.1483603369224746,0.46299514615041376,-16.38729492473253
200001,500000,300000,130.65397666666667,448,6.12087330758999,10.391783057823876,0.3260194102455174,43.351956666666666,43.351956666666666,2.133779975439105,0.4663550591614113,-17.59079768377814
500001,1000000,500000,138.599258,524,6.458906788439316,10.755809962047776,0.3264421953883439,45.99278,45.99278,2.123775116862128,0.468649982158948,-18.70964639608203
1000001,2000000,1000000,145.747799,556,6.760867479551116,11.19566274025516,0.3267928401358823,48.371354,48.371354,2.1158993299377946,0.47049713154164075,-19.709662800891707
2000001,5000000,3000000,154.41863666666666,596,7.124033923781713,12.120179694215304,0.32717984486969826,51.260237333333336,51.260237333333336,2.1076052292316625,0.4724188012546186,-20.912845715266698
5000001,10000000,5000000,162.4573396,685,7.461518400144944,13.780624097411017,0.32751311791770277,53.9372608,53.9372608,2.100615632940502,0.4740972935911287,-22.031543040382815
