limit,bins,threshold,epsilon_cells,epsilon_normalized,largest_inscribed_radius_cells,largest_inscribed_radius_normalized,occupied_cells,beta0_before,beta1_after
10000,1000,1,20,0.020,376.0,0.376,54930,20233,0
50000,1000,1,18,0.018,386.0,0.386,96433,22930,0
100000,1000,1,16,0.016,384.0,0.384,110116,23671,0
200000,1000,1,14,0.014,370.0,0.370,128043,24790,1
500000,1000,1,14,0.014,361.7070637961056,0.3617070637961056,164769,26876,1
1000000,1000,1,14,0.014,345.35778549208936,0.34535778549208934,192024,25304,3
2000000,1000,1,13,0.013,377.107411754264,0.377107411754264,221147,25414,3
5000000,1000,1,12,0.012,364.66422912043345,0.36466422912043345,253618,22657,2
10000000,1000,1,11,0.011,354.1200361459374,0.3541200361459374,266474,16165,9
