dimension,birth,death,persistence
1,1.2999999999999855e-05,4.0472318339100524e-05,2.747231833910067e-05
1,1.5250000000000027e-05,4.2707621824239794e-05,2.745762182423977e-05
1,2.250000000000004e-05,4.959027777777816e-05,2.709027777777812e-05
1,1.625000000000003e-05,4.332542001460902e-05,2.707542001460899e-05
1,1.8250000000000034e-05,4.531639054994557e-05,2.7066390549945538e-05
1,3.1250000000000055e-05,5.828702069062953e-05,2.7037020690629472e-05
1,2.0000000000000036e-05,4.6762695312499536e-05,2.67626953124995e-05
1,7.19999999999998e-05,9.869780375153089e-05,2.669780375153109e-05
1,8.000000000000015e-06,3.462950138504148e-05,2.6629501385041465e-05
1,8.000000000000015e-06,3.462950138504148e-05,2.6629501385041465e-05
1,1.0000000000000018e-05,3.659934807256215e-05,2.6599348072562134e-05
1,1.0250000000000019e-05,3.6745577523413195e-05,2.6495577523413176e-05
1,1.3000000000000023e-05,3.94659428911363e-05,2.6465942891136274e-05
1,1.1250000000000021e-05,3.747637051039705e-05,2.6226370510397024e-05
1,1.800000000000003e-05,4.419999999999964e-05,2.6199999999999607e-05
1,4.224999999999994e-05,6.84275283937251e-05,2.6177528393725154e-05
1,1.3250000000000024e-05,3.938581314878899e-05,2.6135813148788964e-05
1,1.1249999999999853e-05,3.727579639889243e-05,2.6025796398892575e-05
1,3.924999999999946e-05,6.525431290898255e-05,2.6004312908983084e-05
1,2.6000000000000046e-05,5.20000000000001e-05,2.6000000000000053e-05
1,1.0250000000000019e-05,3.6245541022591984e-05,2.5995541022591965e-05
1,1.3000000000000023e-05,3.89197530864198e-05,2.5919753086419777e-05
1,1.0250000000000019e-05,3.61111111111113e-05,2.586111111111128e-05
1,1.0000000000000018e-05,3.5790289256198266e-05,2.5790289256198247e-05
1,2.0500000000000038e-05,4.590423638305415e-05,2.540423638305411e-05
1,1.825000000000003e-05,4.360743801652905e-05,2.535743801652902e-05
1,0.00015650000000000028,0.0001817567955254718,2.525679552547151e-05
1,1.3250000000000024e-05,3.82371552190372e-05,2.4987155219037178e-05
1,1.850000000000003e-05,4.332542001460902e-05,2.482542001460899e-05
1,9.99999999999985e-06,3.4550781249999995e-05,2.4550781250000145e-05
1,1.700000000000003e-05,4.1479999999999826e-05,2.4479999999999796e-05
1,1.0250000000000019e-05,3.462950138504148e-05,2.437950138504146e-05
1,9.99999999999985e-06,3.4104938271604886e-05,2.4104938271605035e-05
